price;dist;season;rating;size;rooms;area;max_guests;bathrooms;close_to_beach
4783.25;15.15;Autumn;3.84;74;2;Atlantic seaboard;4;2;Yes
3617.83;11.33;Autumn;5.85;72;3;City bowl;5;2;No
5326.49;14.15;Summer;5.04;65;3;Bloubergstrand region;6;2;No
8014.32;13.9;Autumn;4.65;61;1;Atlantic seaboard;2;2;No
4357.96;16.27;Summer;5.26;79;2;City bowl;4;1;Yes
5194.72;19.5;Summer;5.03;76;1;Southern suburbs;2;3;Yes
6152.54;14.87;Summer;4.01;75;2;Southern suburbs;4;3;No
6331.97;11.3;Autumn;4.54;59;2;Atlantic seaboard;4;2;No
5094.45;18.8;Summer;6.06;86;4;City bowl;6;2;No
6182.35;12.84;Summer;4.55;83;1;Atlantic seaboard;3;3;No
6676.74;17;Autumn;4.76;79;2;Atlantic seaboard;4;1;No
7845.57;17.19;Autumn;5.48;66;3;Atlantic seaboard;5;3;No
5678.53;16.47;Summer;5.65;70;3;Bloubergstrand region;6;3;No
6402.92;18.98;Summer;5.17;88;1;Southern suburbs;3;2;Yes
7802.48;13.97;Summer;4.95;69;1;Southern suburbs;2;1;Yes
3343.16;17.08;Winter;5.28;68;1;Bloubergstrand region;3;2;No
5463.07;13.44;Summer;4.84;79;2;City bowl;4;3;No
3717.04;17.8;Autumn;4.79;81;3;City bowl;6;2;No
9113.36;17.85;Summer;4.91;70;3;City bowl;5;1;Yes
3874.86;22.85;Summer;4.8;74;2;City bowl;4;2;No
5287.41;13.4;Summer;5.16;75;1;City bowl;3;2;No
8874.27;13.74;Summer;4.47;75;1;City bowl;3;2;No
6173.99;10.45;Winter;3.28;52;3;Atlantic seaboard;6;1;No
5741.36;15.31;Summer;6.21;93;4;City bowl;4;3;Yes
6468.29;16.46;Autumn;5.27;73;1;City bowl;3;2;Yes
6316.49;11.4;Summer;5.24;77;1;City bowl;3;2;No
4214.4;10.97;Spring;4.02;81;3;City bowl;6;2;No
4714.64;13.77;Autumn;3.78;68;2;Bloubergstrand region;4;2;Yes
